village_name,district_placeholder,state_placeholder
Rampur Gram Panchayat,Example District,Example State
Bhavani Kheda,Example District,Example State
Chitrani Block,Example District,Example State
Saraswati Nagar,Example District,Example State
Nirmalgaon,Example District,Example State
Bhagirathi Pur,Example District,Example State
Kaveri Tanda,Example District,Example State
Shivapuram,Example District,Example State
Lakshmipur,Example District,Example State
Ganga Khand,Example District,Example State
Yamuna Kheda,Example District,Example State
Tulsi Gram,Example District,Example State
Shanti Nagar Panchayat,Example District,Example State
Hariyali Dham,Example District,Example State
Krishi Nagar,Example District,Example State
Suryapur,Example District,Example State
Neelgaon,Example District,Example State
Panchvati Kalan,Example District,Example State
Devnagar,Example District,Example State
Mahuli Panchayat,Example District,Example State
